feature,importance
P12_std_5d_acc_5d,0.00013765119947493077
market_forward_excess_returns_lag5,0.00013555979821830988
P12_zscore_20d_mom_20d,0.00013416300062090157
P12_zscore_20d_acc_5d,0.00012590120313689114
P1_pct_chg_5d_acc_5d,0.00012372940545901656
E8,0.00011304060462862253
P13_lag1_mom_20d,9.445759933441877e-05
P7_pct_chg_5d,9.394540102221071e-05
P2_pct_chg_5d_acc_5d,9.13431984372437e-05
P7_mean_20d_mom_20d,9.0970000019297e-05
P1_zscore_20d,7.904199883341789e-05
P1_std_20d_acc_5d,7.683960138820112e-05
M5_rel_60d,7.50745995901525e-05
P13_std_5d_mom_20d,6.157159805297852e-05
P4_mean_60d,6.036700215190649e-05
P2_std_60d_acc_5d,5.7358801132068035e-05
P6_lag5,5.38207998033613e-05
S5,5.355339962989092e-05
S9,3.886820049956441e-05
P2_lag5_mom_20d,2.9519200325012207e-05
E11,2.078560064546764e-05
P5_std_60d,0.0
P7_pct_chg_5d_mom_20d,0.0
P5_std_5d_mom_20d,0.0
P5_std_5d_acc_5d,0.0
P7_std_20d_mom_20d,0.0
P7_mean_60d,0.0
P7_mean_60d_acc_5d,0.0
P5_pct_chg_5d,0.0
P5_pct_chg_5d_acc_5d,0.0
P5_lag5_acc_5d,0.0
P5_mean_5d_acc_5d,0.0
P5_std_20d,0.0
P7_pct_chg_5d_acc_5d,0.0
P5_std_20d_mom_20d,0.0
P5_pct_chg_5d_mom_20d,0.0
P7_std_20d_acc_5d,0.0
P5_mean_20d,0.0
P5_mean_60d_acc_5d,0.0
P5_mean_60d,0.0
P5_mean_20d_mom_20d,0.0
P5_std_20d_acc_5d,0.0
P6_std_60d_acc_5d,0.0
P7_mean_5d_mom_20d,0.0
P6_mean_60d,0.0
P7_lag1_mom_20d,0.0
P7_lag1_acc_5d,0.0
P7_lag1,0.0
P6_mean_60d_mom_20d,0.0
P6_pct_chg_5d_acc_5d,0.0
P7_acc_5d,0.0
P7_std_5d,0.0
P6_zscore_20d_mom_20d,0.0
P6_std_20d_acc_5d,0.0
P6_zscore_20d_acc_5d,0.0
P6_std_20d_mom_20d,0.0
P6_std_5d,0.0
P6_std_5d_acc_5d,0.0
P6_zscore_20d,0.0
P6_std_5d_mom_20d,0.0
P6_mean_60d_acc_5d,0.0
P6_mean_5d_acc_5d,0.0
P5_std_60d_acc_5d,0.0
P6_mean_20d,0.0
P7_mean_5d_acc_5d,0.0
P5_std_60d_mom_20d,0.0
P5_zscore_20d,0.0
P7_mean_20d,0.0
P7_lag5_mom_20d,0.0
P6_lag1,0.0
P6_lag1_acc_5d,0.0
P6_std_60d,0.0
P6_lag20,0.0
P6_lag20_mom_20d,0.0
P7_lag5_acc_5d,0.0
P7_lag5,0.0
P7_lag20_mom_20d,0.0
P6_lag5_mom_20d,0.0
P7_lag20_acc_5d,0.0
P6_std_20d,0.0
D1,0.0
P7_std_5d_acc_5d,0.0
V1_rank_200d,0.0
V1_mean_60d,0.0
V1_mean_5d,0.0
V1_mean_20d,0.0
V1_lag5,0.0
V1_lag20,0.0
V1_lag1,0.0
V12_zscore_20d,0.0
V12_std_60d,0.0
V12_std_5d,0.0
V12_std_20d,0.0
V12_rank_60d,0.0
V12_rank_200d,0.0
V12_pct_chg_5d,0.0
V12_mean_60d,0.0
V12_mean_5d,0.0
V12_mean_20d,0.0
V12_lag5,0.0
V12_lag20,0.0
V12_lag1,0.0
V12,0.0
V11_zscore_20d,0.0
V11_std_60d,0.0
V11_std_5d,0.0
V11_std_20d,0.0
V11_rank_60d,0.0
V11_rank_200d,0.0
V11_pct_chg_5d,0.0
V11_mean_60d,0.0
V11_mean_5d,0.0
V1_pct_chg_5d,0.0
V1_rank_60d,0.0
P7_std_60d,0.0
V1_std_20d,0.0
risk_free_rate_rank_60d,0.0
risk_free_rate_rank_200d,0.0
risk_free_rate_pct_chg_5d,0.0
risk_free_rate_lag5,0.0
risk_free_rate_lag20,0.0
risk_free_rate_lag1,0.0
market_forward_excess_returns_lag1_rank_60d,0.0
market_forward_excess_returns_lag1,0.0
V8_rank_60d,0.0
V8_rank_200d,0.0
V8,0.0
V7_rank_60d,0.0
V6_rank_60d,0.0
V6_rank_200d,0.0
V6,0.0
V5_rank_60d,0.0
V5_rank_200d,0.0
V5,0.0
V4_rank_60d,0.0
V4_rank_200d,0.0
V4,0.0
V3_rank_60d,0.0
V3_rank_200d,0.0
V3,0.0
V2_rank_60d,0.0
V2_rank_200d,0.0
V1_zscore_20d,0.0
V1_std_60d,0.0
V1_std_5d,0.0
V11_mean_20d,0.0
V11_lag5,0.0
V11_lag20,0.0
V11_lag1,0.0
P9_acc_5d,0.0
P8_zscore_20d_mom_20d,0.0
P8_zscore_20d_acc_5d,0.0
P5_lag20_mom_20d,0.0
P8_std_60d_acc_5d,0.0
P8_std_5d_mom_20d,0.0
P8_std_5d_acc_5d,0.0
P8_std_5d,0.0
P8_std_20d_mom_20d,0.0
P8_std_20d_acc_5d,0.0
P8_std_20d,0.0
P8_pct_chg_5d_mom_20d,0.0
P8_pct_chg_5d_acc_5d,0.0
P8_mean_60d_mom_20d,0.0
P8_mean_60d,0.0
P8_mean_5d_mom_20d,0.0
P8_mean_20d_mom_20d,0.0
P8_mean_20d_acc_5d,0.0
P8_mean_20d,0.0
P8_lag5_mom_20d,0.0
P8_lag5,0.0
P8_lag20_mom_20d,0.0
P8_lag20,0.0
P8_lag1_mom_20d,0.0
P8_lag1_acc_5d,0.0
P8_lag1,0.0
P8_acc_5d,0.0
P7_zscore_20d,0.0
P7_std_60d_acc_5d,0.0
P9_lag1,0.0
P9_lag1_mom_20d,0.0
P9_lag20,0.0
P9_std_20d,0.0
V11,0.0
V1,0.0
S4,0.0
S2,0.0
S12,0.0
S11,0.0
P9_zscore_20d_acc_5d,0.0
P9_zscore_20d,0.0
P9_std_60d_acc_5d,0.0
P9_std_60d,0.0
P9_std_5d_mom_20d,0.0
P9_std_5d,0.0
P9_std_20d_acc_5d,0.0
P9_pct_chg_5d_mom_20d,0.0
P9_lag20_acc_5d,0.0
P9_pct_chg_5d_acc_5d,0.0
P9_pct_chg_5d,0.0
P9_mom_20d,0.0
